6,2,2,2,:7,1,1,1,
6,2,2,2,:6,1,2,1,
6,3,2,3,:6,2,2,2,
6,4,2,4,:6,3,2,3,
6,5,2,5,:6,4,2,4,
6,6,2,6,:6,5,2,5,
6,6,2,6,:7,5,1,5,
6,6,2,6,:7,6,1,6,
5,6,3,6,:6,6,2,6,
5,6,4,6,:6,7,3,6,
5,6,4,6,:5,7,2,6,
5,5,4,6,:5,6,1,6,
5,5,4,6,:6,6,1,6,
5,5,4,6,:6,5,1,5,
4,5,4,6,:5,5,2,5,
3,5,4,6,:4,5,2,4,
2,5,4,6,:3,5,2,4,
2,6,4,6,:3,6,2,5,
2,6,4,6,:3,7,3,5,
2,6,4,6,:3,7,3,6,
2,6,5,6,:3,7,4,6,
2,6,6,6,:3,6,5,6,
2,6,6,6,:3,7,5,7,
2,6,6,6,:2,7,6,7,
2,5,6,5,:2,6,6,6,
2,4,6,4,:2,5,6,5,
2,3,6,3,:2,4,6,4,
2,2,6,2,:2,3,6,3,
