6,2,6,10,2,6,:10,5,10,7,
6,2,6,10,2,6,:10,6,9,7,
6,2,6,10,2,6,:9,6,9,7,
6,2,6,10,2,6,:8,6,9,6,
6,2,6,10,2,6,:7,6,8,6,
6,2,6,10,2,6,:6,6,7,6,
6,2,6,10,2,6,:5,6,6,6,
6,2,6,10,2,6,:4,6,6,7,
6,2,6,10,2,6,:3,6,6,8,
6,2,6,10,2,6,:3,5,6,9,
6,2,6,10,2,6,:2,5,7,9,
6,2,6,10,2,6,:1,5,7,10,
6,2,6,10,2,6,:1,6,7,11,
6,2,6,10,3,6,:2,6,6,11,
6,2,6,9,4,6,:3,6,6,10,
6,2,6,8,5,6,:4,6,6,9,
6,2,6,7,6,6,:5,6,6,8,
6,2,6,7,7,6,:6,6,6,8,
6,2,6,6,8,6,:7,6,6,7,
6,2,5,6,8,6,:6,6,7,7,
6,2,5,6,8,6,:6,5,7,6,
6,2,5,6,9,6,:6,4,8,6,
6,2,5,6,10,6,:6,3,9,6,
6,2,5,6,10,6,:5,3,9,5,
6,2,5,6,10,6,:5,2,10,5,
6,2,5,6,10,6,:5,1,11,5,
6,2,5,6,10,6,:6,1,11,6,
6,3,5,6,9,6,:6,2,10,6,
6,4,5,6,8,6,:6,3,9,6,
6,5,5,6,7,6,:6,4,8,6,
6,6,5,6,7,6,:6,5,9,6,
6,7,5,6,7,6,:6,6,8,6,
6,8,5,6,6,6,:6,7,7,6,
6,9,5,6,6,6,:6,8,7,7,
6,10,5,6,6,6,:6,9,6,7,
6,10,5,6,6,5,:6,8,6,6,
6,10,4,6,6,5,:6,7,5,6,
6,10,3,6,6,5,:6,6,4,6,
6,10,2,6,6,4,:6,5,3,6,
6,10,2,6,6,3,:6,4,3,7,
6,10,2,6,6,2,:6,3,2,7,
