10,2,6,2,:10,6,
10,2,6,2,:10,5,
10,2,6,2,:10,4,
10,2,6,2,:10,3,
10,2,6,2,:11,3,
10,2,6,2,:11,2,
10,2,6,2,:11,1,
10,2,6,2,:10,1,
10,3,6,2,:10,2,
10,4,6,2,:10,3,
10,5,6,2,:10,4,
10,6,6,2,:10,5,
10,6,6,2,:11,5,
10,6,6,2,:11,6,
9,6,6,2,:10,6,
8,6,6,2,:9,6,
7,6,6,2,:8,6,
6,6,6,2,:7,6,
5,6,6,2,:6,6,
5,6,6,2,:6,7,
5,6,6,2,:5,7,
5,5,6,2,:5,6,
5,5,6,2,:6,6,
5,5,6,2,:6,5,
5,5,6,2,:6,4,
5,5,6,2,:6,3,
5,5,6,2,:7,3,
5,5,6,2,:7,2,
5,5,6,2,:7,1,
5,5,6,2,:6,1,
5,5,6,3,:6,2,
5,5,6,4,:6,3,
5,5,6,5,:6,4,
5,5,6,6,:6,5,
4,5,6,6,:5,5,
3,5,6,6,:4,5,
2,5,6,6,:3,5,
1,5,6,6,:2,5,
1,5,6,6,:3,5,
1,5,6,6,:4,5,
1,5,6,6,:5,5,
1,5,6,6,:6,5,
1,5,6,6,:7,5,
1,5,6,6,:7,6,
1,5,5,6,:6,6,
1,5,4,6,:5,6,
1,5,3,6,:4,6,
1,5,2,6,:3,6,
1,5,1,6,:2,6,
